benchmark,sub_dataset,metric,n,a_mem,no_memoria,delta_a_mem_minus_no_memoria
D.CR,factconsolidation_mh_32k,rougeL_f1,100,0.018076852559205502,0.004129848933164123,0.013947003626041378
D.CR,factconsolidation_mh_32k,rougeL_recall,100,0.06166666666666666,0.0375,0.024166666666666663
D.CR,factconsolidation_mh_32k,rougeLsum_f1,100,0.018076852559205502,0.004129848933164123,0.013947003626041378
D.CR,factconsolidation_mh_32k,rougeLsum_recall,100,0.06166666666666666,0.0375,0.024166666666666663
D.CR,factconsolidation_mh_32k,substring_exact_match,100,0.04,0.03,0.010000000000000002
D.CR,factconsolidation_mh_64k,exact_match,100,0.01,0.0,0.01
D.CR,factconsolidation_mh_64k,f1,100,0.023705411474934802,0.004082390727552018,0.019623020747382786
D.CR,factconsolidation_mh_64k,rougeL_f1,100,0.025745878235239942,0.007423520923520924,0.018322357311719016
D.CR,factconsolidation_mh_64k,rougeL_recall,100,0.0495,0.016166666666666666,0.03333333333333334
D.CR,factconsolidation_mh_64k,rougeLsum_f1,100,0.025745878235239942,0.007423520923520924,0.018322357311719016
D.CR,factconsolidation_mh_64k,rougeLsum_recall,100,0.0495,0.016166666666666666,0.03333333333333334
D.CR,factconsolidation_mh_64k,substring_exact_match,100,0.02,0.01,0.01
D.CR,factconsolidation_mh_6k,exact_match,100,0.02,0.0,0.02
D.CR,factconsolidation_mh_6k,f1,100,0.027508310871518414,0.001597542242703533,0.025910768628814883
D.CR,factconsolidation_mh_6k,rougeL_f1,100,0.027152905264669968,0.00540661938534279,0.021746285879327178
D.CR,factconsolidation_mh_6k,rougeL_recall,100,0.06033333333333333,0.010333333333333332,0.049999999999999996
D.CR,factconsolidation_mh_6k,rougeLsum_f1,100,0.027152905264669968,0.00540661938534279,0.021746285879327178
D.CR,factconsolidation_mh_6k,rougeLsum_recall,100,0.06033333333333333,0.010333333333333332,0.049999999999999996
D.CR,factconsolidation_mh_6k,substring_exact_match,100,0.05,0.0,0.05
D.CR,factconsolidation_sh_262k,exact_match,100,0.05,0.02,0.030000000000000002
D.CR,factconsolidation_sh_262k,f1,100,0.07381108554883509,0.08932312199032622,-0.015512036441491128
D.CR,factconsolidation_sh_262k,rougeL_f1,100,0.07452503510220372,0.08703195650331873,-0.012506921401115006
D.CR,factconsolidation_sh_262k,rougeL_recall,100,0.15333333333333335,0.2316666666666666,-0.07833333333333325
D.CR,factconsolidation_sh_262k,rougeLsum_f1,100,0.07452503510220372,0.08703195650331873,-0.012506921401115006
D.CR,factconsolidation_sh_262k,rougeLsum_recall,100,0.15333333333333335,0.2316666666666666,-0.07833333333333325
D.CR,factconsolidation_sh_262k,substring_exact_match,100,0.11,0.15,-0.039999999999999994
D.CR,factconsolidation_sh_32k,exact_match,100,0.2,0.05,0.15000000000000002
D.CR,factconsolidation_sh_32k,f1,100,0.23759327459989785,0.12464447380438705,0.1129488007955108
D.CR,factconsolidation_sh_32k,rougeL_f1,100,0.23517912887775022,0.12202421132845975,0.11315491754929047
D.CR,factconsolidation_sh_32k,rougeL_recall,100,0.3183333333333333,0.3125,0.0058333333333333015
D.CR,factconsolidation_sh_32k,rougeLsum_f1,100,0.23517912887775022,0.12202421132845975,0.11315491754929047
D.CR,factconsolidation_sh_32k,rougeLsum_recall,100,0.3183333333333333,0.3125,0.0058333333333333015
D.CR,factconsolidation_sh_32k,substring_exact_match,100,0.28,0.24,0.040000000000000036
D.CR,factconsolidation_sh_64k,exact_match,100,0.2,0.07,0.13
D.CR,factconsolidation_sh_64k,f1,100,0.22456570156798353,0.14579821568887374,0.07876748587910978
D.CR,factconsolidation_sh_64k,rougeL_f1,100,0.22510353290772225,0.1419608853822635,0.08314264752545875
D.CR,factconsolidation_sh_64k,rougeL_recall,100,0.2786666666666666,0.34949999999999987,-0.07083333333333325
D.CR,factconsolidation_sh_64k,rougeLsum_f1,100,0.22510353290772225,0.1419608853822635,0.08314264752545875
D.CR,factconsolidation_sh_64k,rougeLsum_recall,100,0.2786666666666666,0.34949999999999987,-0.07083333333333325
