sub_dataset,n,kind,accuracy,mean_fluency,mean_recall,mean_precision,mean_f1,source_path
infbench_sum_eng_shots2,100,structured,,1.0,0.036,0.1274,0.0192,/home/cecilia/projects/memory-arena/results/judgments/20260521_213700_a_mem_mab_Long_Range_Understanding_infbench_sum_eng_shots2_merged__mistral.jsonl
detective_qa,71,boolean,0.4085,,,,,/home/cecilia/projects/memory-arena/results/judgments/20260518_002132_a_mem_mab_Long_Range_Understanding_detective_qa__mistral.jsonl
